seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1414,3,WM,matched,direct_topk,1200,1000.0,0.0,0.85,0.15000000000000002,0.15,0.4046823076437492,0.40821098871023764,0.39899680978255114
1414,3,WM,cross_task,roi_incident,15,1000.0,0.0,0.8,0.19999999999999996,0.0,0.39899680978255114,0.39899680978255114,0.39899680978255114
1414,3,WM,shuffled,roi_incident,15,0.1,1.0,0.6,0.4,0.0,0.39899680978255114,0.39899680978255114,0.39899680978255114
1414,3,WM,random,direct_topk,100,1000.0,0.0,0.4,0.6,0.25,0.39761480056516124,0.39356483854988655,0.39899680978255114
1414,3,FI,matched,roi_incident,15,1000.0,0.0,0.35,0.65,0.15,0.39885801242100927,0.3988580124210093,0.3945312796906185
1414,3,FI,cross_task,roi_incident,5,1000.0,0.0,0.25,0.75,0.1,0.39283288426561863,0.39283288426561863,0.3945312796906185
1414,3,FI,shuffled,roi_incident,10,1000.0,0.0,0.4,0.6,0.05,0.39509169661774474,0.39509169661774474,0.3945312796906185
1414,3,FI,random,direct_topk,1200,1000.0,0.0,0.15,0.85,0.3,0.24396033084590352,0.22007653538540317,0.3945312796906185
1414,4,WM,matched,roi_incident,15,100.0,0.0,0.65,0.35,0.2,0.16081389136705557,0.1588846351156879,0.1624629480887129
1414,4,WM,cross_task,roi_incident,10,100.0,0.0,0.8,0.19999999999999996,0.0,0.1624629480887129,0.1624629480887129,0.1624629480887129
1414,4,WM,shuffled,roi_incident,15,100.0,0.0,0.55,0.44999999999999996,0.35,0.17263110829665235,0.16872362521370177,0.1624629480887129
1414,4,WM,random,direct_topk,300,100.0,0.0,0.45,0.55,0.0,0.1624629480887129,0.1624629480887129,0.1624629480887129
1414,4,FI,matched,direct_topk,600,1000.0,0.0,0.25,0.75,0.35,0.33193662057509205,0.331936620575092,0.32774113572739105
1414,4,FI,cross_task,direct_topk,300,1000.0,0.0,0.1,0.9,0.2,0.32994519512619347,0.32994519512619347,0.32774113572739105
1414,4,FI,shuffled,roi_incident,15,1000.0,0.0,0.1,0.9,0.15,0.3224781321664687,0.3166161995961497,0.32774113572739105
1414,4,FI,random,direct_topk,1200,1000.0,0.0,0.25,0.75,0.0,0.32774113572739105,0.32774113572739105,0.32774113572739105
1515,0,WM,matched,roi_incident,15,100.0,0.0,0.5,0.5,0.55,0.3270249540066519,0.32566564527071445,0.3953822453183301
1515,0,WM,cross_task,roi_incident,10,1.0,0.3,0.9,0.09999999999999998,0.9,0.16808271911752276,0.16450754422930414,0.3953822453183301
1515,0,WM,shuffled,roi_incident,15,1000.0,0.0,0.0,1.0,0.55,0.21457956154994562,0.31564785190361366,0.3953822453183301
1515,0,WM,random,direct_topk,300,100.0,0.0,0.6,0.4,0.4,0.39400109767064195,0.403024893491622,0.3953822453183301
1515,0,FI,matched,roi_incident,15,1000.0,0.0,0.35,0.65,0.1,0.34561280943637707,0.3424789901937775,0.3417983307217711
1515,0,FI,cross_task,direct_topk,1200,1000.0,0.0,0.05,0.95,0.2,0.3365873088575678,0.3365873088575678,0.3417983307217711
1515,0,FI,shuffled,roi_incident,15,1.0,0.1,0.15,0.85,0.2,0.346187850151113,0.3430230912882235,0.3417983307217711
