task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
working_memory,9,4,R0,equal_weight,0.33462363848367516,11.01054981168041,9.026319443617105,330,82
working_memory,0,0,R1,FC,0.1096029516007761,12.547446463935351,10.392120054882012,329,83
working_memory,0,0,R1,SC,0.023785645476149364,10.857320783613266,8.995294779982327,329,83
working_memory,0,0,R1,FP,0.14256633732995244,11.366150818022012,9.2836738078472,329,83
working_memory,0,0,R1,fused,0.13488760652141146,10.525537906281446,8.611008507766504,329,83
working_memory,0,0,R1,equal_weight,0.11716932256533999,10.279411365125446,8.469599760100678,329,83
working_memory,0,1,R1,FC,0.2237641420265108,12.214787373731113,10.129159698366971,329,83
working_memory,0,1,R1,SC,0.21558221350616558,11.216293245520712,8.864305298276777,329,83
working_memory,0,1,R1,FP,0.10126247292714555,11.192484616430276,8.931933202879403,329,83
working_memory,0,1,R1,fused,0.14195963933671057,10.987072071057709,8.794515323103912,329,83
working_memory,0,1,R1,equal_weight,0.20726003673299323,10.791121414806925,8.657955155184142,329,83
working_memory,0,2,R1,FC,0.1685160003819302,13.299255478325943,10.101068328393021,330,82
working_memory,0,2,R1,SC,0.2031359119450421,12.176341208668152,9.596286342811371,330,82
working_memory,0,2,R1,FP,0.2128389219410522,12.668217852501984,9.607594285492391,330,82
working_memory,0,2,R1,fused,0.25910187324999573,11.87948286564762,9.054967669025615,330,82
working_memory,0,2,R1,equal_weight,0.266992419897671,11.738704091498187,9.068218305499041,330,82
working_memory,0,3,R1,FC,0.41148067169408975,11.0103425177745,9.358325458676655,330,82
working_memory,0,3,R1,SC,0.13368703342062013,11.896707163315615,9.864810877442466,330,82
working_memory,0,3,R1,FP,0.4240537989605755,10.491710981406486,8.840719435686932,330,82
working_memory,0,3,R1,fused,0.3943547150379567,10.631863663811922,9.024636323954073,330,82
working_memory,0,3,R1,equal_weight,0.31528982270778744,10.867110828451056,9.225917965645285,330,82
working_memory,0,4,R1,FC,0.29188663649529883,13.756908616324663,11.435498620341678,330,82
working_memory,0,4,R1,SC,0.1966043792971892,13.798974767477036,11.040710069044442,330,82
working_memory,0,4,R1,FP,0.35106353076916386,12.826115739819924,10.713784064905058,330,82
working_memory,0,4,R1,fused,0.37124935885051136,12.811046367568718,10.676833614115022,330,82
working_memory,0,4,R1,equal_weight,0.32971287377385716,12.990854716023355,10.672165110885453,330,82
working_memory,1,0,R1,FC,0.48838527459024383,10.523026081139273,9.017446374058048,329,83
working_memory,1,0,R1,SC,0.26691832496707435,11.031901405780012,9.140436510853709,329,83
working_memory,1,0,R1,FP,0.4675933643983499,10.147018911716579,8.471295562964157,329,83
working_memory,1,0,R1,fused,0.45971819391138746,9.964750798053824,8.444610864819273,329,83
working_memory,1,0,R1,equal_weight,0.4803420519663443,9.838745476837508,8.313852811296332,329,83
working_memory,1,1,R1,FC,0.13260232716977488,13.340319199044513,10.494777683755485,329,83
working_memory,1,1,R1,SC,-0.003393335705033279,13.012315515617694,10.47765455802252,329,83
working_memory,1,1,R1,FP,0.06835333931321505,12.065774876794935,9.811952339384288,329,83
working_memory,1,1,R1,fused,0.05080465666662881,12.060137625260731,9.811507686226632,329,83
working_memory,1,1,R1,equal_weight,0.03260787472388123,12.198855508567817,9.903932815425796,329,83
working_memory,1,2,R1,FC,0.1814001034684659,12.611181733902807,10.417508403277436,330,82
working_memory,1,2,R1,SC,0.05647282272038237,12.679914024361944,10.68263963552131,330,82
working_memory,1,2,R1,FP,0.33200659584706715,10.821898276304127,9.316895989600312,330,82
working_memory,1,2,R1,fused,0.21124199039686603,11.280935367278364,9.742687116027678,330,82
working_memory,1,2,R1,equal_weight,0.19231408970406236,11.373075200408225,9.805852322875579,330,82
working_memory,1,3,R1,FC,0.26801576748319283,12.698931716448344,10.359787936362123,330,82
working_memory,1,3,R1,SC,0.12882725845007922,12.657428014429508,10.178328044481805,330,82
working_memory,1,3,R1,FP,0.2561351068363399,12.285924794426554,9.784494394673915,330,82
working_memory,1,3,R1,fused,0.2644659525925158,11.948044728194056,9.581794129484374,330,82
working_memory,1,3,R1,equal_weight,0.25078865695483504,11.827400379634565,9.590963904415453,330,82
working_memory,1,4,R1,FC,0.25915044405047016,11.584411086891313,8.701619924197324,330,82
working_memory,1,4,R1,SC,0.1880710165876515,11.300480125656815,8.86949953956614,330,82
